"Date","Price","Open","High","Low","Vol.","Change %"
"04/13/2025","2.1185","2.1599","2.2348","2.0822","549.37M","-1.92%"
"04/12/2025","2.1601","2.0226","2.1807","2.0045","456.35M","6.81%"
"04/11/2025","2.0224","1.9659","2.0642","1.9475","502.48M","2.87%"
"04/10/2025","1.9659","2.0532","2.0549","1.9250","682.74M","-4.25%"
"04/09/2025","2.0532","1.7954","2.0883","1.7234","1.37B","14.35%"
"04/08/2025","1.7956","1.8975","1.9723","1.7795","951.88M","-5.35%"
"04/07/2025","1.8971","1.9214","1.9989","1.6283","2.16B","-1.26%"
"04/06/2025","1.9214","2.1442","2.1587","1.8669","683.71M","-10.41%"
"04/05/2025","2.1446","2.1299","2.1746","2.1143","229.17M","0.70%"
"04/04/2025","2.1298","2.0633","2.1552","2.0187","696.26M","3.23%"
"04/03/2025","2.0632","2.0230","2.0809","1.9616","753.70M","2.04%"
"04/02/2025","2.0220","2.1360","2.2234","1.9877","834.52M","-5.45%"
"04/01/2025","2.1387","2.0897","2.1947","2.0659","559.13M","2.35%"
"03/31/2025","2.0896","2.1364","2.1391","2.0238","613.96M","-2.18%"
"03/30/2025","2.1363","2.1344","2.2133","2.1091","390.35M","0.09%"
"03/29/2025","2.1343","2.2068","2.2244","2.0625","540.82M","-3.28%"
"03/28/2025","2.2068","2.3403","2.3428","2.1558","581.18M","-5.73%"
"03/27/2025","2.3409","2.3493","2.3898","2.3041","322.28M","-0.36%"
"03/26/2025","2.3493","2.4494","2.4778","2.3298","362.11M","-4.09%"
"03/25/2025","2.4494","2.4502","2.4737","2.4077","289.87M","-0.04%"
"03/24/2025","2.4503","2.4391","2.5013","2.4142","373.50M","0.45%"
"03/23/2025","2.4393","2.3710","2.4396","2.3656","254.73M","2.88%"
"03/22/2025","2.3710","2.3802","2.4162","2.3599","189.14M","-0.38%"
"03/21/2025","2.3801","2.4356","2.4653","2.3588","399.74M","-2.29%"
"03/20/2025","2.4358","2.5461","2.5549","2.3923","610.64M","-4.23%"
"03/19/2025","2.5434","2.2815","2.5806","2.2659","1.11B","11.30%"
"03/18/2025","2.2851","2.3379","2.3392","2.2237","456.47M","-2.27%"
"03/17/2025","2.3381","2.2950","2.3780","2.2950","400.80M","1.91%"
"03/16/2025","2.2944","2.3882","2.4093","2.2699","421.68M","-4.05%"
"03/15/2025","2.3912","2.3553","2.4733","2.3544","413.81M","1.53%"
"03/14/2025","2.3551","2.2441","2.3883","2.2385","537.83M","4.57%"
"03/13/2025","2.2522","2.2388","2.3448","2.2154","717.08M","0.58%"
"03/12/2025","2.2391","2.1724","2.2614","2.1365","740.78M","3.19%"
"03/11/2025","2.1699","2.0181","2.2121","1.9060","1.08B","7.67%"
"03/10/2025","2.0153","2.1361","2.2553","1.9937","1.06B","-5.64%"
"03/09/2025","2.1358","2.3252","2.3505","2.0855","699.58M","-8.10%"
"03/08/2025","2.3239","2.3855","2.4080","2.3041","333.14M","-2.58%"
"03/07/2025","2.3855","2.6030","2.6187","2.3512","1.18B","-8.24%"
"03/06/2025","2.5998","2.5000","2.6432","2.4723","716.44M","3.98%"
"03/05/2025","2.5002","2.4542","2.5375","2.4115","627.19M","1.86%"
"03/04/2025","2.4545","2.3700","2.5331","2.2160","1.49B","2.88%"
"03/03/2025","2.3857","2.9366","2.9436","2.3028","1.78B","-18.76%"
"03/02/2025","2.9366","2.1902","2.9676","2.1757","1.99B","34.09%"
"03/01/2025","2.1901","2.1399","2.2177","2.1221","379.12M","2.08%"
"02/28/2025","2.1455","2.1985","2.1997","1.9554","1.18B","-2.41%"
"02/27/2025","2.1985","2.1978","2.2555","2.1462","596.66M","0.02%"
"02/26/2025","2.1980","2.3213","2.3291","2.1536","903.29M","-5.31%"
"02/25/2025","2.3213","2.2760","2.3627","2.0670","1.73B","2.03%"
"02/24/2025","2.2752","2.5759","2.6028","2.2430","867.28M","-11.67%"
"02/23/2025","2.5756","2.5734","2.5981","2.5214","232.81M","0.06%"
"02/22/2025","2.5742","2.5716","2.6085","2.5542","234.75M","0.11%"
"02/21/2025","2.5714","2.6881","2.7127","2.5091","648.97M","-4.34%"
"02/20/2025","2.6881","2.7379","2.7473","2.6681","420.10M","-1.82%"
"02/19/2025","2.7379","2.5623","2.7450","2.5149","541.70M","6.87%"
"02/18/2025","2.5620","2.6596","2.6680","2.4709","574.83M","-3.67%"
"02/17/2025","2.6596","2.7287","2.7632","2.6087","492.03M","-2.53%"
"02/16/2025","2.7286","2.7623","2.8030","2.6963","329.59M","-1.22%"
"02/15/2025","2.7623","2.7380","2.8304","2.7161","452.74M","0.88%"
"02/14/2025","2.7381","2.5596","2.8285","2.5313","951.13M","6.99%"
"02/13/2025","2.5591","2.4736","2.6010","2.4173","539.11M","3.46%"
"02/12/2025","2.4734","2.4133","2.4944","2.3372","598.43M","2.49%"
"02/11/2025","2.4133","2.4235","2.5276","2.3745","585.08M","-0.42%"
"02/10/2025","2.4234","2.3939","2.4724","2.3256","510.75M","1.24%"
